"class_name","floor_no","building_name","deptID"
"STAFFROOM (BASIC SCIENCE)","Ground floor","MAIN BUILDING","D008"
"ALETHEA LIBRARY","Ground floor","MAIN BUILDING","D008"
"RECEPTION","Ground floor","MAIN BUILDING","D008"
"CHAPEL","Ground floor","MAIN BUILDING","D008"
"PRINCIPAL OFFICE","Ground floor","MAIN BUILDING","D008"
"OFFICE","Ground floor","MAIN BUILDING","D008"
"DIRECTOR OFFICE","Ground floor","MAIN BUILDING","D008"
"VICE PRINCIPAL OFFICE","Ground floor","MAIN BUILDING","D008"
"BOARD ROOM","Ground floor","MAIN BUILDING","D008"
"FINANCE","Ground floor","MAIN BUILDING","D008"
"RAJAGIRI RESEARCH & CONSULTANCY CENTRE(CETA)","Ground floor","MAIN BUILDING","D008"
"DINING ROOM 2","4th floor","KE BLOCK","D008"
"DINING ROOM 1","3rd floor","KE BLOCK","D008"
"Ladies Washroom","ALL floors","KE BLOCK","NULL"
"Mens Washroom","ALL floors","KE BLOCK","NULL"
